    19.2772     38.3574 0.000807339
    19.5415     38.8832 0.000829318
    19.8058     39.4089 0.000851591
    20.0701     39.9346 0.000874161
    20.3344     40.4604 0.000897025
    20.5987     40.9861 0.000920185
    20.863    41.5119 0.00094364
   21.1273    42.0377 0.00096739
    21.3916     42.5635 0.000991436
    21.656    43.0893 0.00101578
   21.9203     43.615 0.00104041
   22.1846    44.1409 0.00106535
    22.449    44.6667 0.00109057
   22.7134    45.1925 0.00111609
   22.9777    45.7183 0.00114191
   23.2421    46.2441 0.00116803
   23.5065      46.77 0.00119443
   23.7709    47.2958 0.00122114
   24.0353    47.8217 0.00124814
   24.2997    48.3475 0.00127543
   24.5641    48.8734 0.00130302
   24.8285    49.3993 0.00133091
   25.0929    49.9251 0.00135909
   25.3573     50.451 0.00138757
   25.6218    50.9769 0.00141634
   25.8862    51.5028 0.00144541
   26.1507    52.0287 0.00147477
   26.4151    52.5547 0.00150443
   26.6796    53.0806 0.00153439
    26.944    53.6065 0.00156463
   27.2085    54.1324 0.00159518
    27.473    54.6584 0.00162602
   27.7375    55.1843 0.00165716
    28.002    55.7103 0.00168859
   28.2665    56.2363 0.00172032
    28.531    56.7622 0.00175234
   28.7955    57.2882 0.00178466
   29.0601    57.8142 0.00181727
   29.3246    58.3402 0.00185018
   29.5891    58.8662 0.00188339
   29.8537    59.3922 0.00191689
   30.1182    59.9182 0.00195069
   30.3828    60.4442 0.00198478
   30.6474    60.9703 0.00201917
   30.9119    61.4963 0.00205385
   31.1765    62.0223 0.00208883
  31.4411   62.5484 0.0021241
   31.7057    63.0744 0.00215967
   31.9703    63.6005 0.00219554
   32.235   64.1266 0.0022317
   32.4996    64.6526 0.00226816
   32.7642    65.1787 0.00230491
   33.0288    65.7048 0.00234196
   33.2935    66.2309 0.00237931
   33.5582     66.757 0.00241695
   33.8228    67.2831 0.00245488
   34.0875    67.8092 0.00249311
   34.3522    68.3353 0.00253164
   34.6168    68.8615 0.00257046
   34.8815    69.3876 0.00260958
 35.1462  69.9137 0.002649
    35.411    70.4399 0.00268871
   35.6757     70.966 0.00272872
   35.9404    71.4922 0.00276902
   36.2051    72.0184 0.00280962
   36.4699    72.5445 0.00285051
  36.7346   73.0707 0.0028917
   36.9994    73.5969 0.00293318
   37.2641    74.1231 0.00297496
   37.5289    74.6493 0.00301704
   37.7937    75.1755 0.00305941
   38.0585    75.7017 0.00310208
   38.3233    76.2279 0.00314505
   38.5881    76.7542 0.00318831
   38.8529    77.2804 0.00323186
   39.1177    77.8066 0.00327572
   39.3826    78.3329 0.00331987
   39.6474    78.8591 0.00336431
   39.9122    79.3854 0.00340905
   40.1771    79.9117 0.00345408
    40.442    80.4379 0.00349942
   40.7068    80.9642 0.00354504
   40.9717    81.4905 0.00359097
   41.2366    82.0168 0.00363719
  41.5015   82.5431 0.0036837
   41.7664    83.0694 0.00373052
   42.0313    83.5957 0.00377762
   42.2963     84.122 0.00382503
   42.5612    84.6483 0.00387273
   42.8261    85.1746 0.00392072
   43.0911     85.701 0.00396901
   43.356   86.2273 0.0040176
    43.621    86.7537 0.00406648
    43.886      87.28 0.00411566
    44.151    87.8064 0.00416514
    44.416    88.3327 0.00421491
    44.681    88.8591 0.00426498
    44.946    89.3855 0.00431534
  45.211  89.9119 0.004366
    45.476    90.4382 0.00441696
   45.7411    90.9646 0.00446821
   46.0061     91.491 0.00451976
  46.2712   92.0174 0.0045716
   46.5362    92.5439 0.00462374
   46.8013    93.0703 0.00467618
   47.0664    93.5967 0.00472891
   47.3315    94.1231 0.00478194
   47.5966    94.6496 0.00483527
   47.8617     95.176 0.00488889
   48.1268    95.7025 0.00494281
   48.3919    96.2289 0.00499702
   48.6571    96.7554 0.00505153
   48.9222    97.2818 0.00510634
   49.1874    97.8083 0.00516144
   49.4525    98.3348 0.00521684
   49.7177    98.8613 0.00527253
   49.9829    99.3878 0.00532852
   50.2481    99.9143 0.00538481
   50.5133    100.441 0.00544139
   50.7785    100.967 0.00549827
   51.0437    101.494 0.00555545
    51.309     102.02 0.00561292
   51.5742    102.547 0.00567069
   51.8395    103.073 0.00572876
   52.1047      103.6 0.00578712
     52.37    104.126 0.00584578
   52.6353    104.653 0.00590473
   52.9006     105.18 0.00596398
   53.1659    105.706 0.00602353
   53.4312    106.233 0.00608337
   53.6965    106.759 0.00614351
   53.9618    107.286 0.00620394
   54.2272    107.812 0.00626468
  54.4925   108.339 0.0063257
   54.7579    108.866 0.00638703
   55.0232    109.392 0.00644865
   55.2886    109.919 0.00651057
    55.554    110.445 0.00657278
   55.8194    110.972 0.00663529
  56.0848   111.499 0.0066981
  56.3502   112.025 0.0067612
  56.6156   112.552 0.0068246
  56.8811   113.079 0.0068883
   57.1465    113.605 0.00695229
    57.412    114.132 0.00701658
   57.6774    114.658 0.00708117
   57.9429    115.185 0.00714605
   58.2084    115.712 0.00721123
  58.4739   116.238 0.0072767
   58.7394    116.765 0.00734248
   59.0049    117.292 0.00740854
   59.2705    117.818 0.00747491
    59.536    118.345 0.00754157
   59.8016    118.872 0.00760853
   60.0671    119.399 0.00767578
   60.3327    119.925 0.00774333
   60.5983    120.452 0.00781118
   60.8639    120.979 0.00787933
   61.1295    121.505 0.00794777
  61.3951   122.032 0.0080165
   61.6607    122.559 0.00808554
   61.9263    123.086 0.00815487
   62.192   123.612 0.0082245
   62.4576    124.139 0.00829442
   62.7233    124.666 0.00836464
    62.989    125.193 0.00843516
   63.2546    125.719 0.00850597
   63.5203    126.246 0.00857709
   63.7861    126.773 0.00864849
  64.0518     127.3 0.0087202
  64.3175   127.827 0.0087922
  64.5832   128.353 0.0088645
    64.849     128.88 0.00893709
   65.1148    129.407 0.00900998
   65.3805    129.934 0.00908317
   65.6463    130.461 0.00915666
   65.9121    130.987 0.00923044
   66.1779    131.514 0.00930452
   66.4437    132.041 0.00937889
   66.7096    132.568 0.00945356
   66.9754    133.095 0.00952853
  67.2412   133.622 0.0096038
   67.5071    134.148 0.00967936
    67.773    134.675 0.00975522
   68.0389    135.202 0.00983137
   68.3048    135.729 0.00990783
   68.5707    136.256 0.00998458
  68.8366   136.783 0.0100616
 69.1025   137.31 0.010139
  69.3684   137.836 0.0102166
  69.6344   138.363 0.0102945
  69.9004    138.89 0.0103728
  70.1663   139.417 0.0104513
  70.4323   139.944 0.0105301
  70.6983   140.471 0.0106093
  70.9643   140.998 0.0106887
  71.2303   141.525 0.0107684
  71.4964   142.052 0.0108484
  71.7624   142.579 0.0109287
  72.0285   143.106 0.0110093
  72.2945   143.633 0.0110903
  72.5606   144.159 0.0111715
 72.8267  144.686 0.011253
  73.0928   145.213 0.0113348
  73.3589    145.74 0.0114168
   73.625   146.267 0.0114992
  73.8912   146.794 0.0115819
  74.1573   147.321 0.0116649
  74.4235   147.848 0.0117482
  74.6896   148.375 0.0118318
  74.9558   148.902 0.0119157
